,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
358,42,1,111949,2,9,0,9,5,0,1,0,0,35,0,0
363,43,1,174575,0,13,3,0,1,0,0,0,1564,45,0,1
369,39,1,481060,2,9,3,3,2,0,1,0,0,40,0,0
376,33,1,267404,2,9,0,8,5,0,1,0,0,40,0,0
380,54,1,174319,2,9,3,12,1,0,0,0,0,40,0,0
383,46,1,108699,4,10,3,3,1,0,1,0,0,40,0,0
385,23,1,396099,2,9,2,1,1,0,1,0,0,25,0,0
400,20,1,416103,4,10,2,5,3,0,0,0,0,40,0,0
408,28,1,123147,4,10,0,7,5,0,1,0,1887,40,0,1
409,32,1,364657,4,10,0,0,0,0,0,0,0,50,0,0
416,52,1,190762,10,2,0,2,0,0,0,0,0,40,3,0
419,34,3,240283,2,9,3,12,2,0,1,0,0,40,0,0
424,33,1,228528,7,6,2,8,2,0,1,0,0,35,0,0
425,25,1,133373,2,9,0,12,0,0,0,0,0,60,0,0
432,40,0,204116,0,13,1,6,1,0,1,2174,0,40,0,0
435,33,1,208405,8,14,0,6,0,0,0,0,0,50,0,1
442,24,4,191073,2,9,2,13,3,0,0,0,0,40,0,0
447,51,1,56915,2,9,0,8,0,3,0,0,0,40,0,0
450,19,1,206399,2,9,2,2,3,1,1,0,0,40,0,0
451,45,5,197332,4,10,0,8,0,0,0,0,0,55,0,1
453,42,1,197583,9,12,0,0,0,1,0,0,0,40,2,1
457,38,1,351299,4,10,0,12,0,1,0,0,0,50,0,0
458,23,1,54012,2,9,0,12,0,0,0,0,0,60,0,0
462,32,1,132601,0,13,0,6,0,0,0,0,0,50,0,0
478,27,1,161155,7,6,2,1,1,0,0,0,0,40,0,0
481,43,0,170721,4,10,0,8,0,0,0,0,0,20,0,0
483,41,1,193626,2,9,1,8,2,0,1,0,0,40,0,0
488,45,2,164427,0,13,3,6,2,0,1,0,0,40,0,0
492,35,1,32220,9,12,2,0,1,0,1,0,0,60,0,0
504,25,1,181054,0,13,2,3,1,0,1,0,0,40,0,0
508,47,2,543162,2,9,4,9,2,1,1,0,0,40,0,0
513,34,1,337587,4,10,0,6,0,0,0,0,0,50,0,1
526,42,1,221172,0,13,0,0,0,0,0,0,0,40,0,1
529,44,0,202692,8,14,0,6,0,0,0,0,0,40,0,0
532,36,1,197202,2,9,0,1,0,1,0,0,0,40,0,0
537,29,1,102345,5,11,4,8,1,0,0,0,0,40,0,0
542,30,1,237903,4,10,2,5,2,0,1,0,0,40,0,0
544,27,1,201872,4,10,0,3,0,0,0,0,0,50,0,0
548,21,1,259510,2,9,2,5,3,0,0,0,0,36,0,0
550,46,0,245724,4,10,3,0,1,0,0,0,0,50,0,0
561,54,1,212960,0,13,0,3,0,0,0,0,0,35,0,1
565,20,1,27337,2,9,2,5,3,3,0,0,0,48,0,0
566,43,5,188436,8,14,0,0,0,0,0,5013,0,45,0,0
580,65,1,195733,4,10,0,7,0,0,0,0,0,30,0,1
581,57,1,69884,2,9,0,3,0,0,0,0,0,40,0,1
584,31,0,340939,0,13,2,4,1,0,0,0,0,40,0,0
586,29,1,34292,4,10,2,9,1,0,0,0,0,60,0,0
590,42,1,137390,2,9,0,7,0,0,0,0,0,40,0,0
598,25,1,200408,4,10,2,4,1,0,0,2174,0,40,0,0
606,51,1,410114,8,14,0,8,0,0,0,0,0,40,0,1
612,24,1,249909,2,9,0,5,0,0,0,0,0,50,0,0
621,45,1,462440,3,7,5,1,1,1,1,0,0,20,0,0
624,47,1,241832,1,5,1,5,2,0,0,0,0,40,7,0
628,33,1,205469,4,10,0,0,0,0,0,0,0,40,0,1
632,43,1,154374,4,10,0,8,0,0,0,15024,0,60,0,1
634,58,0,35723,2,9,0,8,0,0,0,0,0,60,0,0
646,31,2,402089,2,9,3,9,2,0,1,0,0,40,0,0
653,38,3,143774,4,10,4,0,1,0,1,0,0,45,0,0
659,43,1,174524,2,9,0,2,0,0,0,0,0,40,0,1
660,44,0,335183,11,8,0,5,0,1,0,0,0,40,0,1
661,35,1,261293,8,14,2,3,1,0,0,0,0,60,0,0
666,27,3,249362,4,10,0,12,0,0,0,3411,0,40,0,0
669,24,1,172146,1,5,2,2,1,0,0,0,1721,40,0,0
678,31,1,125457,2,9,2,8,1,0,0,0,0,45,0,0
679,58,0,204021,2,9,5,0,1,0,0,0,0,50,0,0
680,29,2,92262,2,9,2,11,3,0,0,0,0,48,0,0
692,42,1,262425,4,10,0,6,0,0,0,0,0,50,0,0
693,20,1,316702,4,10,2,6,3,0,0,0,0,20,0,0
697,31,1,118710,8,14,0,4,0,0,0,0,1902,40,0,1
702,21,1,163870,4,10,2,5,3,0,0,0,0,30,0,0
706,40,1,229148,11,8,0,1,0,1,0,0,0,40,1,0
710,28,1,296450,0,13,0,6,0,0,0,0,0,40,0,0
713,40,1,144995,5,11,0,4,0,0,0,4386,0,40,0,0
719,34,1,217460,0,13,0,0,0,0,0,0,0,45,0,1
724,42,1,162140,0,13,0,0,0,0,0,7298,0,45,0,1
726,44,1,111502,2,9,0,3,5,0,1,0,0,40,0,0
732,26,1,181655,5,11,0,9,0,0,0,0,2377,45,0,0
737,43,3,260960,0,13,0,6,0,0,0,0,0,50,0,0
740,19,1,192453,4,10,2,1,4,0,1,0,0,25,0,0
752,58,0,87510,7,6,0,8,0,0,0,0,0,40,0,0
770,26,1,171114,4,10,2,10,1,0,1,0,0,38,0,0
774,55,1,116442,2,9,2,3,1,0,0,0,0,38,0,0
783,41,0,49572,4,10,0,0,0,0,0,0,0,60,0,0
787,18,1,231193,11,8,2,2,3,0,0,0,0,30,0,0
805,32,1,231043,2,9,0,8,0,0,0,5178,0,48,0,1
807,33,1,169879,0,13,0,6,0,0,0,3103,0,47,0,1
808,64,1,270333,0,13,0,6,0,0,0,0,0,40,0,1
818,64,1,169871,2,9,0,12,0,0,0,0,0,45,0,0
832,26,1,280093,4,10,2,5,3,0,0,0,0,40,0,0
839,63,1,86108,2,9,5,10,1,0,0,0,0,6,0,0
845,43,1,102895,4,10,3,6,1,0,0,0,0,40,0,0
848,39,1,138192,0,13,0,8,0,0,0,0,0,40,0,0
850,61,1,99784,8,14,5,6,1,0,1,0,0,40,0,1
853,26,1,96467,0,13,2,6,1,0,1,0,0,40,0,0
877,38,1,411797,5,11,3,9,2,0,1,0,0,40,0,0
884,33,1,258498,4,10,0,8,5,0,1,0,0,60,0,0
885,63,1,149698,4,10,0,7,0,0,0,0,0,15,0,0
886,23,1,205865,0,13,2,0,3,0,0,0,0,28,0,0
892,28,1,164170,5,11,0,9,5,2,1,0,0,40,8,0
893,37,1,183800,0,13,0,6,0,0,0,7688,0,50,0,1
903,27,1,90270,9,12,0,7,3,3,0,0,0,40,0,0
904,35,1,152375,2,9,2,3,1,0,0,0,0,45,0,0
906,37,1,211154,4,10,3,2,1,0,0,0,0,52,0,0
912,53,0,311020,7,6,0,10,0,0,0,0,0,60,0,0
924,64,1,29825,2,9,0,7,0,0,0,0,0,5,0,0
928,22,1,91842,4,10,2,3,1,0,1,0,0,42,0,0
929,33,1,373662,10,2,1,14,1,0,1,0,0,40,9,0
931,19,1,52114,4,10,2,7,3,0,1,0,0,10,0,0
932,51,2,241843,12,1,0,1,0,0,0,0,0,40,0,0
941,35,1,465507,2,9,0,2,0,1,0,0,0,40,0,0
945,54,2,166398,4,10,3,0,2,1,1,0,0,35,0,0
947,36,5,108293,0,13,0,0,5,0,1,0,1977,45,0,1
948,43,1,250802,4,10,3,8,2,0,0,0,0,35,0,0
957,33,2,298785,7,6,3,12,1,0,0,0,0,40,0,0
966,35,5,368825,4,10,0,3,0,0,0,0,0,60,0,1
967,55,0,189721,2,9,0,8,0,0,0,0,0,20,0,0
968,48,1,164966,0,13,0,0,0,2,0,0,0,40,8,1
971,28,1,161538,0,13,2,4,1,0,1,0,0,35,0,0
975,25,1,178326,4,10,2,3,1,0,1,0,0,40,0,0
984,45,2,318280,2,9,5,11,1,0,0,0,0,40,0,1
997,48,4,33109,0,13,3,0,2,0,0,0,0,58,0,1
1003,23,2,115244,0,13,2,6,3,0,1,0,0,60,0,0
1006,66,1,271567,2,9,4,2,1,1,0,0,0,40,0,0
1017,51,1,191965,2,9,5,1,2,0,1,0,0,32,0,0
1019,19,1,117201,2,9,2,7,3,0,0,0,0,30,0,0
1025,56,1,169133,2,9,0,1,0,0,0,0,0,50,10,0
1030,31,1,93106,5,11,2,9,1,0,1,0,0,40,0,0
1037,37,1,123785,2,9,2,1,1,0,0,0,0,75,0,0
1040,90,1,137018,2,9,2,1,1,0,1,0,0,40,0,0
1042,43,1,341204,4,10,3,9,1,0,1,0,0,40,0,0
1045,28,1,187160,13,15,3,6,2,0,0,0,0,55,0,0
1052,30,1,296453,0,13,0,9,0,0,0,7298,0,40,0,1
1057,41,1,302122,5,11,3,8,1,0,1,0,0,40,0,0
1059,45,1,185385,2,9,0,8,0,0,0,0,0,47,0,1
1061,61,1,128848,2,9,0,2,0,0,0,3471,0,40,0,0
1062,54,1,377701,2,9,0,1,0,0,0,0,0,32,3,0
1063,34,1,157886,9,12,4,1,2,0,1,0,0,40,0,0
1069,36,1,117312,9,12,3,4,1,0,1,0,0,60,0,0
1070,22,2,34029,0,13,2,6,3,0,1,0,0,20,0,0
1076,27,1,137645,0,13,2,3,1,1,1,0,1590,40,0,0
1077,22,1,191342,0,13,2,3,3,2,0,0,0,50,11,0
1083,41,2,195258,4,10,0,11,0,0,0,0,0,40,0,1
1089,38,1,412296,2,9,3,8,3,0,0,0,0,28,0,0
1090,41,4,133060,9,12,0,6,0,0,0,0,0,40,0,1
1091,44,0,120539,0,13,2,3,1,0,0,0,0,50,0,1
1107,29,1,131088,2,9,2,5,3,0,0,0,0,25,0,0
1120,29,1,140863,4,10,0,4,0,0,0,0,0,40,0,0
1124,48,1,95244,4,10,3,1,2,1,1,0,0,35,0,0
1132,31,1,316672,2,9,2,1,2,0,1,0,0,40,3,0
1135,31,1,184307,4,10,0,0,0,0,0,0,0,50,1,1
1136,46,0,246212,8,14,0,0,0,0,0,0,0,45,0,1
1139,41,1,328447,10,2,0,8,0,0,0,0,0,35,3,0
1141,20,1,230891,4,10,2,3,1,0,0,0,0,45,0,0
1152,24,1,35633,4,10,2,7,1,0,0,0,0,40,2,0
1161,51,1,284329,2,9,5,12,2,0,0,0,0,40,0,0
1162,33,1,114691,0,13,0,3,0,0,0,0,0,60,0,1
1167,22,1,131573,4,10,2,7,3,0,1,0,0,8,0,0
1169,40,1,182302,2,9,3,12,1,0,0,0,0,40,0,0
1177,50,3,356619,2,9,0,6,0,0,0,0,0,48,0,1
1182,36,1,416745,0,13,0,6,0,0,0,0,0,40,0,0
1185,51,1,165637,8,14,0,7,0,0,0,0,0,40,0,0
1186,59,4,43280,4,10,2,0,3,1,1,0,0,40,0,0
1189,27,2,247507,0,13,2,6,3,0,0,0,0,35,0,0
1191,48,1,182862,4,10,0,8,0,0,0,0,0,40,0,1
1196,51,2,176813,9,12,0,6,0,0,0,0,0,60,0,0
1197,59,1,151616,8,14,0,6,0,0,0,0,0,55,0,0
1199,50,1,75472,2,9,0,8,0,0,0,4386,0,40,2,0
1202,37,1,166497,0,13,3,8,1,0,0,0,0,35,0,0
1206,61,2,321117,2,9,0,11,0,0,0,0,0,40,0,0
1212,31,1,32406,4,10,3,8,2,0,1,0,0,20,0,0
1215,63,1,150389,0,13,5,7,1,0,1,0,0,40,0,1
1219,38,1,200818,13,15,0,6,0,0,0,0,0,40,0,1
1220,45,0,247379,2,9,0,8,0,0,0,0,0,40,0,1
1221,48,1,349151,2,9,0,8,0,0,0,0,0,40,0,0
1236,34,1,441454,2,9,2,3,1,0,1,0,0,24,0,0
1245,62,1,192866,4,10,5,1,1,0,1,0,0,20,0,0
1246,54,5,166459,13,15,0,6,0,0,0,99999,0,60,0,1
1248,34,1,190040,2,9,0,9,5,0,1,0,0,40,0,0
1251,48,0,397466,4,10,0,0,0,0,0,0,0,60,0,0
1255,29,1,128604,2,9,0,8,0,2,0,0,0,40,0,0
1258,43,4,369468,0,13,0,6,0,0,0,0,0,40,0,1
1261,53,1,89534,2,9,0,12,0,0,0,0,0,48,0,1
1264,22,5,153516,4,10,2,8,3,0,0,0,0,35,0,0
1265,31,1,163594,2,9,2,3,1,0,1,0,0,45,0,0
1275,51,2,152754,0,13,0,9,0,0,0,0,0,40,0,1
1277,67,1,171584,0,13,0,11,0,0,0,6514,0,7,0,1
1278,47,1,386136,2,9,0,12,0,0,0,0,0,35,0,0
1294,36,1,113397,2,9,0,5,0,0,0,0,0,40,0,0
1297,41,1,265266,9,12,0,4,0,0,0,0,0,40,0,0
1301,29,1,419721,2,9,2,1,2,1,1,0,0,40,12,0
1304,30,1,209103,5,11,0,0,0,0,0,0,0,48,0,0
1305,37,1,32668,0,13,0,2,0,0,0,0,0,43,0,1
1310,45,4,283037,0,13,0,0,0,0,0,0,0,40,0,0
1320,61,2,101265,2,9,5,9,2,0,1,1471,0,35,0,0
1321,20,1,114874,4,10,2,9,3,0,0,0,0,30,0,0
1337,40,1,240124,2,9,0,0,0,0,0,0,0,40,0,1
1339,38,3,34180,4,10,0,0,0,0,0,0,0,40,0,0
1345,35,1,184117,0,13,2,9,3,0,1,0,0,40,0,0
1348,36,1,153078,0,13,0,0,0,2,0,0,0,60,2,1
1364,31,4,168312,5,11,2,0,1,0,1,0,0,40,0,0
1373,46,5,98929,0,13,0,3,0,0,0,0,0,52,0,0
1375,41,1,102332,2,9,3,3,2,1,1,0,0,40,0,0
1377,54,1,449257,2,9,0,10,0,0,0,0,0,40,0,0
1393,19,4,234151,2,9,2,9,2,1,1,0,0,40,0,0
1395,42,1,230624,7,6,2,12,2,0,0,0,0,40,0,1
1396,54,1,398212,2,9,0,12,0,1,0,5013,0,40,0,0
1403,31,1,66815,2,9,0,8,0,0,0,0,0,50,0,0
1418,31,1,127610,0,13,0,6,5,0,1,0,0,40,0,1
1420,19,1,172582,4,10,2,7,3,0,0,0,0,50,0,0
1430,49,1,147322,5,11,0,2,5,0,1,0,0,40,13,0
1448,51,1,185283,4,10,0,0,0,0,0,0,0,45,0,1
1452,17,1,333100,7,6,2,7,3,0,0,1055,0,30,0,0
1461,46,1,161508,7,6,2,2,1,1,0,0,0,40,0,0
1462,30,1,177675,4,10,2,8,1,0,0,0,0,40,0,1
1463,39,1,51100,2,9,0,12,0,0,0,0,0,40,0,1
1467,49,1,101320,8,14,3,0,1,0,1,0,0,75,0,0
1471,25,1,98283,0,13,2,6,3,2,0,0,0,40,0,0
1473,69,3,208869,8,14,0,6,0,0,0,0,0,11,0,0
1474,22,1,207940,4,10,2,5,3,0,1,0,0,36,0,0
1478,17,1,197850,3,7,2,9,3,2,1,0,0,24,0,0
1479,33,0,235271,4,10,2,1,1,0,0,0,0,35,0,0
1483,26,1,256263,2,9,2,8,1,0,0,0,0,25,0,0
1494,27,1,23940,2,9,2,5,4,3,0,0,0,40,0,0
1508,20,1,431745,4,10,2,9,1,1,1,0,0,14,0,0
1525,20,1,231286,4,10,2,5,1,1,0,0,0,15,0,0
1530,47,1,232628,2,9,0,8,0,1,0,0,0,40,0,0
1536,34,1,122116,4,10,0,0,0,0,0,0,0,40,0,0
1542,39,2,203070,2,9,4,11,1,0,0,0,0,40,0,0
1544,69,1,473040,14,3,3,7,1,0,0,0,0,40,0,0
1547,38,1,180342,0,13,0,9,0,0,0,0,0,40,0,0
1559,21,1,236684,4,10,2,1,4,1,1,0,0,8,0,0
1560,18,1,208447,11,8,2,5,3,0,0,0,0,6,0,0
1563,51,1,154342,6,4,0,11,0,0,0,0,0,40,0,0
1572,24,1,198148,4,10,2,1,3,0,0,0,0,30,0,0
1582,29,1,200511,0,13,0,3,0,0,0,0,0,50,0,0
1585,40,1,103395,4,10,0,8,0,0,0,0,0,45,0,1
1586,51,1,71046,4,10,3,0,2,0,0,0,0,45,14,0
1591,26,2,46097,0,13,0,6,0,0,0,0,0,40,0,0
1593,55,1,98361,8,14,0,6,0,0,0,15024,0,50,2,1
1598,19,1,176570,3,7,2,2,3,0,0,0,0,60,0,0
1601,57,3,68830,2,9,3,0,1,0,1,0,0,50,0,0
1603,57,1,236944,2,9,0,2,0,1,0,0,0,40,0,1
1609,50,1,21095,4,10,3,1,2,2,0,0,0,40,15,0
1612,45,1,46406,8,14,0,6,0,0,0,0,0,36,16,1
1613,54,1,53833,2,9,0,2,0,0,0,0,0,40,0,1
1614,26,1,161007,0,13,2,9,3,0,0,0,0,30,0,0
1615,60,1,53707,2,9,0,6,0,0,0,0,0,40,0,1
1616,46,1,370119,13,15,0,6,0,0,0,99999,0,60,0,1
1617,26,1,310907,4,10,0,0,5,0,1,0,0,35,0,0
1620,48,0,58683,4,10,0,3,0,0,0,0,0,70,0,1
1623,44,1,147206,4,10,0,0,0,0,0,0,0,40,0,0
1640,52,1,158993,2,9,3,1,4,1,1,0,0,38,0,0
1644,55,0,52888,13,15,0,6,5,0,1,0,0,10,0,0
1649,59,1,143372,7,6,3,9,1,1,1,0,0,40,0,0
1653,34,2,202729,2,9,0,11,0,0,0,0,0,40,0,0
1654,41,1,421871,2,9,0,8,0,1,0,0,0,40,0,1
1658,18,1,214617,4,10,2,3,3,0,0,0,0,16,0,0
1668,52,1,94391,2,9,0,9,0,0,0,0,0,40,0,0
1675,43,1,37937,8,14,3,0,2,0,0,0,0,50,0,0
1682,43,1,176270,0,13,0,0,0,0,0,99999,0,60,0,1
1690,25,1,28520,2,9,2,1,1,0,1,0,0,40,0,0
1702,24,1,266926,4,10,0,5,0,0,0,0,0,40,0,0
1708,24,1,67222,0,13,2,2,1,2,0,0,0,45,17,0
1709,43,1,201723,8,14,0,0,0,0,0,0,1902,40,0,1
1715,39,1,19914,4,10,3,9,2,3,1,0,0,40,0,0
1720,31,1,367314,2,9,3,9,1,0,1,0,0,40,0,0
1722,38,1,86551,0,13,3,3,1,0,0,0,0,48,0,1
1724,21,1,57711,2,9,2,1,1,0,1,0,0,30,0,0
1726,55,1,199067,2,9,0,8,0,0,0,0,0,40,0,1
1732,26,1,314177,2,9,2,3,1,1,0,0,0,40,0,0
1737,21,1,32616,2,9,2,1,1,0,1,0,1719,16,0,0
1739,57,2,52267,2,9,0,12,0,0,0,0,0,72,0,0
1752,37,1,349689,2,9,3,9,2,0,1,0,0,40,0,0
1767,32,1,195576,3,7,0,2,0,0,0,0,0,40,0,0
1771,50,1,171338,4,10,0,0,0,0,0,99999,0,50,0,1
1773,17,1,158762,7,6,2,7,3,0,1,0,0,20,0,0
1775,31,1,288419,7,6,0,2,0,0,0,0,0,40,0,0
1785,42,2,339671,0,13,1,6,1,0,1,8614,0,45,0,1
1790,30,4,188569,1,5,0,4,0,0,0,0,0,40,0,0
1805,50,3,211319,8,14,2,6,1,0,0,0,0,38,0,0
1808,73,2,232871,6,4,0,11,0,0,0,2228,0,10,0,0
1813,22,1,311764,3,7,5,3,3,1,1,0,0,35,0,0
1814,49,1,188330,2,9,0,3,0,0,0,0,0,40,0,1
1824,51,1,158948,2,9,0,12,0,0,0,0,0,84,0,1
1825,51,1,221532,0,13,3,0,2,0,0,0,0,40,0,1
1826,22,0,202920,2,9,2,6,2,0,1,99999,0,40,18,1
1837,70,1,30713,2,9,0,10,0,0,0,0,0,30,0,0
1839,45,1,338105,0,13,0,9,0,2,0,0,0,40,15,0
1841,34,2,62463,4,10,0,12,0,0,0,0,1579,40,0,0
1843,24,1,165054,5,11,0,8,0,0,0,0,0,40,0,0
1849,32,5,244665,2,9,0,8,0,0,0,5178,0,45,0,1
1850,21,1,131811,2,9,0,5,0,0,0,0,0,40,0,0
1856,44,3,55076,8,14,2,6,1,0,1,0,0,60,0,0
1859,47,2,171095,9,12,0,9,5,0,1,0,0,35,0,1
1861,46,1,138999,4,10,0,2,0,0,0,0,0,40,0,0
1865,60,1,386261,0,13,1,7,2,1,1,0,0,15,0,0
1867,36,4,128884,2,9,3,9,1,0,1,0,0,48,0,0
1870,40,1,173607,7,6,0,12,0,0,0,0,0,40,0,0
1878,23,1,22966,0,13,2,7,3,0,0,0,0,35,0,0
1879,30,1,399088,4,10,3,9,1,0,1,0,0,45,0,0
1892,26,1,33610,2,9,3,1,4,0,0,0,0,40,0,0
1894,68,1,67791,4,10,5,3,1,0,0,0,0,40,0,0
1898,25,1,109872,2,9,0,2,0,0,0,0,0,45,0,0
1900,29,1,149943,4,10,2,1,1,4,0,0,1590,40,2,0
1902,31,1,91666,2,9,2,12,1,0,0,0,0,50,0,0
1905,44,1,161819,2,9,0,2,0,0,0,0,0,40,0,1
1909,36,1,188834,1,5,0,12,0,0,0,0,0,50,0,0
1910,38,1,187046,3,7,0,8,0,0,0,0,0,45,0,0
1913,39,1,324420,10,2,0,8,0,0,0,0,0,45,3,0
1917,28,2,218990,5,11,0,11,0,1,0,0,0,46,0,0
1932,28,1,162551,6,4,0,2,4,2,1,0,0,48,17,0
1933,25,1,211231,2,9,0,4,4,0,1,0,0,48,0,1
1935,90,1,221832,0,13,0,0,0,0,0,0,0,45,0,0
1944,18,2,153405,3,7,2,9,4,0,1,0,0,25,0,0
1946,57,1,176079,8,14,3,6,1,0,1,0,0,40,0,0
1950,44,0,483201,0,13,0,0,0,0,0,0,0,40,0,0
1951,77,2,144608,2,9,0,0,0,0,0,0,0,6,0,0
1955,40,1,201495,3,7,2,12,3,0,0,0,0,35,0,0
1974,33,1,217235,2,9,0,3,0,0,0,0,0,20,0,0
1975,40,1,121956,0,13,1,6,1,2,0,13550,0,40,19,1
1976,23,1,120172,0,13,2,0,1,0,0,0,0,40,0,0
1977,35,1,343403,4,10,2,3,1,0,1,0,0,40,0,0
1985,29,1,421065,2,9,2,2,1,0,0,0,0,48,0,0
1988,34,1,379412,2,9,0,8,0,0,0,0,0,50,0,0
1996,49,1,128132,2,9,0,3,0,0,0,0,0,60,0,1
2007,24,1,296045,6,4,0,8,0,0,0,2635,0,38,0,0
2010,31,1,331065,0,13,2,0,1,0,1,0,1408,40,0,0
2013,27,2,113545,0,13,2,6,1,0,1,0,0,40,0,0
2016,34,1,173806,8,14,2,6,1,0,0,4865,0,60,0,0
2021,36,1,103110,15,16,2,6,1,0,0,0,0,40,16,0
2024,36,1,35309,0,13,0,0,0,0,0,0,0,40,0,0
2035,23,1,460046,2,9,4,0,2,0,1,0,0,42,0,0
2039,36,1,83893,4,10,0,0,0,0,0,0,0,40,0,1
2052,18,1,283342,3,7,2,1,4,1,0,0,0,20,0,0
2056,37,3,367237,5,11,2,6,1,0,0,8614,0,40,0,1
2061,20,1,376474,4,10,2,7,3,0,0,0,0,32,0,0
2065,32,1,549430,2,9,2,14,2,0,1,0,0,40,3,0
2073,51,2,133050,4,10,0,0,0,1,0,0,0,40,0,1
2077,25,0,305449,4,10,2,2,3,0,0,0,0,40,0,0
2088,31,4,207301,2,9,0,9,5,0,1,0,0,40,0,1
2094,22,1,27937,4,10,2,7,3,0,0,0,0,36,0,0
2097,56,2,160829,2,9,3,9,1,0,1,0,0,46,0,0
2101,52,1,150930,5,11,0,8,0,0,0,0,0,40,0,0
2102,30,1,343699,2,9,3,8,2,0,1,0,0,40,0,0
